ID,Valence,Arousal,Freq,CNC,IMG,Word
419,6.24,4.59,1,587,579,CUB
420,5.3,4.29,1,530,575,CUBE
421,5.82,4.28,1,653,623,CUCUMBER
422,5.23,4.8,1,532,448,CUE
423,4.65,5.05,1,532,448,CUFF
424,5.45,4.27,45,539,558,CUP
425,5.43,4.12,2,539,558,CUPBOARD
426,4.83,4.54,13,577,556,CURB
427,5.54,4.12,13,363,415,CURTAIN
428,6.27,3.45,8,447,520,CUSHION
429,5.75,4.34,2,549,515,CUSTARD
430,5.42,5.22,27,505,488,CUSTOMER
431,3.44,7.34,1,417,213,CYCLONE
432,5.22,4.63,18,417,213,CYLINDER
433,6.85,4.73,15,603,626,DAD
434,3.88,6.89,1,576,581,DAGGER
435,7.01,3.36,3,613,573,DAISY
436,5.15,4.96,5,320,297,DAM
437,6.31,5.73,31,558,551,DANCER
438,5.82,3.61,1,558,579,DANDELION
439,2.81,5.47,1,546,554,DANDRUFF
440,4.86,5.84,1,608,597,DART
441,5.39,4.83,2,608,597,DASHBOARD
442,6.8,4.71,72,514,501,DAUGHTER
443,5.68,4.01,23,566,539,DECK
444,6.3,4,13,631,624,DEER
445,2.85,6.55,6,282,459,DELINQUENT
446,5.85,4.33,6,272,364,DENIM
447,3.52,6.91,12,607,622,DENTIST
448,5.73,4.65,2,607,622,DEODORANT
449,5.06,4.8,225,447,426,DEPARTMENT
450,4.98,6.07,17,455,435,DEPUTY
451,5.88,5.09,18,444,407,DESIGNER
452,5.47,4.43,65,583,574,DESK
453,7.21,5.35,7,364,297,DESSERT
454,5.33,6.09,52,505,524,DETECTIVE
455,5.39,4.57,25,505,524,DETERGENT
456,5.3,4.68,10,439,281,DIAGRAM
457,5.27,4.65,1,537,541,DIAL
458,6.93,5.88,8,610,623,DIAMOND
459,3.45,5.05,4,610,623,DIAPER
460,5.54,4.58,4,610,623,DIARY
461,5.53,5.31,14,610,623,DICE
462,2.57,6.77,7,356,432,DICTATOR
463,5.73,4.75,57,356,432,DICTIONARY
464,4.94,5.14,2,327,376,DIGGER
465,5.09,4.49,12,0,402,DILL
466,5.75,4.95,4,582,590,DIME
467,6.26,4.72,1,515,497,DINER
